EmployeeID,Name,Department,JobRole,HireDate,Gender,Salary,ManagerID,ReviewID,ReviewDate,PerformanceScore,TrainingHours,Promotion,Attrition,HireYear,HireMonth
1,Employee 1,HR,Analyst,22-03-2018 00:00,M,80505,38,1,30-06-2025 00:00,5,23,Yes,No,2018,March
2,Employee 2,HR,Associate,16-10-2023 00:00,F,77368,29,2,30-06-2025 00:00,3,61,No,No,2023,October
3,Employee 3,IT,Analyst,09-07-2023 00:00,M,33198,63,3,30-06-2025 00:00,5,75,Yes,No,2023,July
4,Employee 4,Sales,Analyst,18-12-2022 00:00,M,87655,78,4,30-06-2025 00:00,1,65,No,No,2022,December
5,Employee 5,Finance,Executive,24-05-2022 00:00,F,28962,13,5,30-06-2025 00:00,2,7,Yes,Yes,2022,May
6,Employee 6,Marketing,Analyst,10-04-2021 00:00,M,139402,31,6,30-06-2025 00:00,1,59,No,No,2021,April
7,Employee 7,Marketing,Manager,21-10-2019 00:00,M,129507,55,7,30-06-2025 00:00,4,59,Yes,Yes,2019,October
8,Employee 8,Marketing,Manager,18-08-2018 00:00,M,100397,37,8,30-06-2025 00:00,1,43,No,No,2018,August
9,Employee 9,Sales,Associate,10-03-2023 00:00,F,45399,78,9,30-06-2025 00:00,1,65,No,Yes,2023,March
10,Employee 10,Finance,Associate,28-09-2024 00:00,M,50803,31,10,30-06-2025 00:00,3,4,Yes,No,2024,September
11,Employee 11,HR,Executive,19-06-2023 00:00,M,34928,50,11,30-06-2025 00:00,3,14,No,Yes,2023,June
12,Employee 12,Finance,Associate,01-06-2018 00:00,F,30359,66,12,30-06-2025 00:00,3,76,Yes,Yes,2018,June
13,Employee 13,Sales,Analyst,18-06-2018 00:00,M,120803,94,13,30-06-2025 00:00,3,1,No,No,2018,June
14,Employee 14,Marketing,Analyst,03-10-2019 00:00,F,61744,38,14,30-06-2025 00:00,2,29,Yes,No,2019,October
15,Employee 15,IT,Associate,19-07-2022 00:00,F,89091,54,15,30-06-2025 00:00,1,55,Yes,Yes,2022,July
16,Employee 16,Sales,Associate,19-01-2024 00:00,M,137624,13,16,30-06-2025 00:00,1,40,Yes,No,2024,January
17,Employee 17,IT,Associate,18-10-2024 00:00,M,72804,54,17,30-06-2025 00:00,3,35,No,Yes,2024,October
18,Employee 18,Sales,Manager,02-11-2019 00:00,F,94255,50,18,30-06-2025 00:00,1,19,No,Yes,2019,November
19,Employee 19,Finance,Executive,19-12-2018 00:00,F,142055,7,19,30-06-2025 00:00,4,41,No,Yes,2018,December
20,Employee 20,IT,Analyst,09-06-2023 00:00,F,50690,84,20,30-06-2025 00:00,2,1,No,Yes,2023,June
21,Employee 21,IT,Associate,09-08-2021 00:00,F,85539,50,21,30-06-2025 00:00,2,34,Yes,Yes,2021,August
22,Employee 22,Sales,Associate,14-08-2018 00:00,F,28326,26,22,30-06-2025 00:00,1,9,Yes,Yes,2018,August
23,Employee 23,IT,Analyst,23-07-2019 00:00,M,120098,74,23,30-06-2025 00:00,3,54,No,No,2019,July
24,Employee 24,Sales,Analyst,08-06-2022 00:00,F,26626,80,24,30-06-2025 00:00,5,70,Yes,Yes,2022,June
25,Employee 25,HR,Analyst,25-02-2023 00:00,M,125460,26,25,30-06-2025 00:00,3,78,No,Yes,2023,February
26,Employee 26,Finance,Associate,08-10-2023 00:00,M,72856,27,26,30-06-2025 00:00,2,16,No,Yes,2023,October
27,Employee 27,HR,Executive,27-05-2019 00:00,F,32312,25,27,30-06-2025 00:00,5,23,Yes,No,2019,May
28,Employee 28,HR,Analyst,27-09-2023 00:00,F,31185,3,28,30-06-2025 00:00,2,8,No,Yes,2023,September
29,Employee 29,Marketing,Executive,29-05-2020 00:00,F,97079,49,29,30-06-2025 00:00,5,0,Yes,Yes,2020,May
30,Employee 30,Finance,Associate,07-09-2020 00:00,M,62239,89,30,30-06-2025 00:00,2,54,No,Yes,2020,September
31,Employee 31,Finance,Analyst,17-12-2019 00:00,M,141780,9,31,30-06-2025 00:00,1,45,Yes,No,2019,December
32,Employee 32,Marketing,Associate,30-06-2022 00:00,M,119409,96,32,30-06-2025 00:00,3,54,Yes,No,2022,June
33,Employee 33,HR,Analyst,23-01-2023 00:00,F,81781,73,33,30-06-2025 00:00,5,68,No,No,2023,January
34,Employee 34,Sales,Executive,18-11-2018 00:00,F,38366,50,34,30-06-2025 00:00,2,30,Yes,No,2018,November
35,Employee 35,Finance,Associate,05-04-2018 00:00,F,119013,93,35,30-06-2025 00:00,3,74,Yes,No,2018,April
36,Employee 36,IT,Analyst,15-05-2022 00:00,M,124918,54,36,30-06-2025 00:00,3,42,Yes,No,2022,May
37,Employee 37,HR,Associate,08-11-2019 00:00,F,149228,97,37,30-06-2025 00:00,4,74,Yes,No,2019,November
38,Employee 38,Marketing,Manager,08-08-2018 00:00,F,30737,53,38,30-06-2025 00:00,3,76,Yes,No,2018,August
39,Employee 39,Finance,Analyst,20-08-2020 00:00,F,60414,15,39,30-06-2025 00:00,3,8,Yes,Yes,2020,August
40,Employee 40,Sales,Manager,05-07-2024 00:00,F,130497,14,40,30-06-2025 00:00,1,67,Yes,No,2024,July
41,Employee 41,HR,Analyst,24-01-2021 00:00,F,33908,41,41,30-06-2025 00:00,4,27,Yes,Yes,2021,January
42,Employee 42,IT,Manager,20-11-2020 00:00,F,75054,78,42,30-06-2025 00:00,4,40,Yes,No,2020,November
43,Employee 43,Marketing,Analyst,13-04-2020 00:00,F,43878,40,43,30-06-2025 00:00,4,52,No,Yes,2020,April
44,Employee 44,HR,Associate,22-10-2020 00:00,M,49735,22,44,30-06-2025 00:00,3,30,No,Yes,2020,October
45,Employee 45,Finance,Associate,26-03-2022 00:00,M,131740,14,45,30-06-2025 00:00,3,7,Yes,Yes,2022,March
46,Employee 46,Marketing,Analyst,09-12-2023 00:00,M,26445,81,46,30-06-2025 00:00,3,55,Yes,No,2023,December
47,Employee 47,IT,Associate,02-06-2019 00:00,M,45636,67,47,30-06-2025 00:00,3,75,No,Yes,2019,June
48,Employee 48,Sales,Executive,25-05-2021 00:00,F,135930,51,48,30-06-2025 00:00,3,8,No,No,2021,May
49,Employee 49,IT,Manager,24-08-2022 00:00,F,28712,85,49,30-06-2025 00:00,3,44,Yes,Yes,2022,August
50,Employee 50,Finance,Manager,21-12-2019 00:00,F,53276,26,50,30-06-2025 00:00,4,37,Yes,Yes,2019,December
51,Employee 51,Marketing,Executive,28-10-2019 00:00,F,89225,1,51,30-06-2025 00:00,3,43,No,No,2019,October
52,Employee 52,IT,Associate,04-04-2022 00:00,M,64145,62,52,30-06-2025 00:00,2,70,Yes,Yes,2022,April
53,Employee 53,IT,Executive,01-05-2018 00:00,F,86789,42,53,30-06-2025 00:00,1,29,No,No,2018,May
54,Employee 54,HR,Analyst,20-10-2021 00:00,M,50026,3,54,30-06-2025 00:00,1,16,Yes,Yes,2021,October
55,Employee 55,Finance,Executive,09-01-2018 00:00,F,118211,3,55,30-06-2025 00:00,5,67,Yes,Yes,2018,January
56,Employee 56,Sales,Associate,05-02-2021 00:00,M,111102,30,56,30-06-2025 00:00,3,13,Yes,No,2021,February
57,Employee 57,Marketing,Manager,20-01-2024 00:00,M,97346,47,57,30-06-2025 00:00,3,46,No,Yes,2024,January
58,Employee 58,IT,Associate,08-09-2023 00:00,M,115865,61,58,30-06-2025 00:00,3,28,No,No,2023,September
59,Employee 59,HR,Manager,29-03-2018 00:00,F,145715,74,59,30-06-2025 00:00,3,0,Yes,No,2018,March
60,Employee 60,HR,Associate,15-09-2023 00:00,F,31635,50,60,30-06-2025 00:00,5,56,Yes,Yes,2023,September
61,Employee 61,IT,Analyst,02-02-2019 00:00,F,37519,11,61,30-06-2025 00:00,2,76,No,Yes,2019,February
62,Employee 62,HR,Executive,19-03-2022 00:00,M,130649,19,62,30-06-2025 00:00,2,14,Yes,No,2022,March
63,Employee 63,Sales,Manager,24-02-2021 00:00,M,75747,30,63,30-06-2025 00:00,2,65,Yes,Yes,2021,February
64,Employee 64,Finance,Associate,27-11-2021 00:00,M,65362,72,64,30-06-2025 00:00,3,51,No,No,2021,November
65,Employee 65,Sales,Manager,12-10-2021 00:00,M,129346,63,65,30-06-2025 00:00,3,51,No,No,2021,October
66,Employee 66,Marketing,Analyst,15-11-2021 00:00,M,28888,6,66,30-06-2025 00:00,2,37,Yes,No,2021,November
67,Employee 67,HR,Executive,19-08-2022 00:00,F,43974,89,67,30-06-2025 00:00,5,54,Yes,Yes,2022,August
68,Employee 68,HR,Associate,25-01-2022 00:00,F,63678,32,68,30-06-2025 00:00,2,54,Yes,No,2022,January
69,Employee 69,Marketing,Manager,02-03-2019 00:00,F,143498,59,69,30-06-2025 00:00,4,0,No,Yes,2019,March
70,Employee 70,Sales,Analyst,14-05-2021 00:00,M,51208,98,70,30-06-2025 00:00,3,71,Yes,Yes,2021,May
